txn_id,timestamp,sender_id,receiver_id,amount,txn_type,amount_log,sender_balance_delta,sender_balance_error,receiver_balance_delta,receiver_balance_error,sender_emptied_account,sender_insufficient_funds_flag,is_cash_out_or_transfer,hour_of_day,is_night_txn,user_txn_count_so_far,user_amount_cummean,user_amount_cumstd,user_amount_cummax,amount_zscore_vs_self,time_since_last_txn,user_txn_count_last_1,user_txn_count_last_6,user_txn_count_last_24,user_distinct_receivers_so_far,is_new_counterparty,receiver_incoming_count_so_far,receiver_distinct_senders_so_far,receiver_fanin_ratio,label,txn_type_CASH_IN,txn_type_CASH_OUT,txn_type_DEBIT,txn_type_PAYMENT,txn_type_TRANSFER,xgb_probability,isolation_forest_score,lof_score,rule_score,rule_reasons,fraud_probability,flagged,blocked,block_reason
1107,56.0,C39,C24,15676.14,CASH_OUT,9.659958879308684,-15676.14,-5.115907697472721e-13,15676.14,0.0,0,0,1,8,0,19,206.56105263157892,218.02877460185377,842.41,70.95200610844918,4.0,0,2,7,14,1,24,20,0.8,1,False,True,False,False,False,0.99664956,0.7223772521933188,1.0,0.8,"legacy_amount_cutoff, extreme_amount_vs_self",0.9265138625520508,1,True,ensemble_probability_threshold
223,12.0,C36,C10,7692.2,TRANSFER,8.948092100781212,-3799.13,3893.0699999999997,7692.2,0.0,1,1,1,12,0,1,24.84,0.0,24.84,0.0,6.0,0,1,1,1,1,0,0,0.0,1,False,False,False,False,True,0.99625105,1.0,0.5180449284742392,1.0,"legacy_amount_cutoff, balance_mismatch, insufficient_funds_executed, account_drained",0.9256448477153498,1,True,"rule_engine: legacy_amount_cutoff, balance_mismatch, insufficient_funds_executed, account_drained"
1725,87.0,C20,C12,7674.25,CASH_OUT,8.945756145214801,-2352.66,5321.59,7674.250000000001,0.0,1,1,1,15,0,39,151.15589743589743,130.17297592693123,553.32,57.79305611624773,3.0,0,3,12,26,1,36,26,0.7027027027027027,1,False,True,False,False,False,0.99664956,0.9388033514860334,0.5335993482390347,1.0,"legacy_amount_cutoff, balance_mismatch, insufficient_funds_executed, account_drained, extreme_amount_vs_self",0.9190176796818132,1,True,"rule_engine: legacy_amount_cutoff, balance_mismatch, insufficient_funds_executed, account_drained, extreme_amount_vs_self"
1825,92.0,C25,C4,3617.39,TRANSFER,8.193784454507371,-1391.78,2225.6099999999997,3617.3999999999996,0.010000000000218279,1,1,1,20,0,41,173.61341463414635,215.20750100321501,1265.56,16.002121530672884,6.0,0,1,8,27,0,38,24,0.6153846153846154,1,False,False,False,False,True,0.99664956,0.9334015680405036,0.47176994860387883,1.0,"legacy_amount_cutoff, balance_mismatch, insufficient_funds_executed, account_drained, extreme_amount_vs_self",0.9089330022197103,1,True,"rule_engine: legacy_amount_cutoff, balance_mismatch, insufficient_funds_executed, account_drained, extreme_amount_vs_self"
273,14.0,C33,C39,7772.8,TRANSFER,8.958514384299649,-3929.1,3843.7000000000003,7772.799999999999,-1.8189894035458565e-12,1,1,1,14,0,6,191.68666666666667,194.450193280096,543.07,38.98743017659597,3.0,0,4,6,6,1,5,5,0.8333333333333334,1,False,False,False,False,True,0.99664956,0.9360777446331744,0.4685647663077582,1.0,"legacy_amount_cutoff, balance_mismatch, insufficient_funds_executed, account_drained, extreme_amount_vs_self",0.9088536513641929,1,True,"rule_engine: legacy_amount_cutoff, balance_mismatch, insufficient_funds_executed, account_drained, extreme_amount_vs_self"
1561,79.0,C36,C26,6598.62,TRANSFER,8.794767350599393,-6598.62,2.2737367544323206e-13,6598.610000000001,-0.00999999999839929,0,0,1,7,0,28,397.4610714285714,1436.7106902802234,7692.2,4.316219661010472,2.0,0,5,13,22,1,32,23,0.696969696969697,1,False,False,False,False,True,0.99664956,0.8005446897651812,0.7803330003233995,0.8,"legacy_amount_cutoff, extreme_amount_vs_self",0.9052889282363401,1,True,ensemble_probability_threshold
1146,58.0,C43,C22,6576.07,TRANSFER,8.791344636395085,-3561.4,3014.6699999999996,6576.07,0.0,1,1,1,10,0,25,129.73680000000002,134.66207368570164,470.87,47.87044357452568,3.0,0,2,9,19,0,26,21,0.7777777777777778,1,False,False,False,False,True,0.99664956,0.9222265972129359,0.4481526489595253,1.0,"legacy_amount_cutoff, balance_mismatch, insufficient_funds_executed, account_drained, extreme_amount_vs_self",0.9037141616489223,1,True,"rule_engine: legacy_amount_cutoff, balance_mismatch, insufficient_funds_executed, account_drained, extreme_amount_vs_self"
1176,59.0,C13,C9,7004.44,CASH_OUT,8.854442269075443,-2225.51,4778.929999999999,7004.4400000000005,9.094947017729282e-13,1,1,1,11,0,28,187.59535714285715,201.42559924994902,737.0,33.84299050488672,0.0,0,1,7,24,1,23,17,0.7083333333333334,1,False,True,False,False,False,0.99664956,0.8710136391577239,0.44180009296666145,1.0,"legacy_amount_cutoff, balance_mismatch, insufficient_funds_executed, account_drained, extreme_amount_vs_self",0.8950793345417108,1,True,"rule_engine: legacy_amount_cutoff, balance_mismatch, insufficient_funds_executed, account_drained, extreme_amount_vs_self"
1559,78.0,C47,C36,6855.19,TRANSFER,8.832907172845777,-4814.66,2040.5299999999997,6855.19,0.0,1,1,1,6,0,28,172.19607142857143,166.59848772910377,710.89,40.11437330354559,1.0,1,2,9,21,1,16,12,0.7058823529411765,1,False,False,False,False,True,0.99664956,0.887153779697055,0.41710710999620415,1.0,"legacy_amount_cutoff, balance_mismatch, insufficient_funds_executed, account_drained, extreme_amount_vs_self",0.8937964081770419,1,True,"rule_engine: legacy_amount_cutoff, balance_mismatch, insufficient_funds_executed, account_drained, extreme_amount_vs_self"
182,10.0,C35,C39,4834.45,TRANSFER,8.48372947491123,-3266.52,1567.9299999999998,4834.4400000000005,-0.009999999999308784,1,1,1,10,0,3,511.9533333333333,363.08418876802295,811.54,11.90494326214888,4.0,0,2,3,3,1,2,2,0.6666666666666666,1,False,False,False,False,True,0.99664956,0.9312021267857042,0.3591393624198246,1.0,"legacy_amount_cutoff, balance_mismatch, insufficient_funds_executed, account_drained, extreme_amount_vs_self",0.8917084981038823,1,True,"rule_engine: legacy_amount_cutoff, balance_mismatch, insufficient_funds_executed, account_drained, extreme_amount_vs_self"
1712,86.0,C16,C35,2315.89,TRANSFER,7.747981048121967,-1100.57,1215.32,2315.89,0.0,1,1,1,14,0,35,175.09828571428565,166.5028995770435,607.46,12.857383983845494,2.0,0,4,11,25,0,38,27,0.6923076923076923,1,False,False,False,False,True,0.9962745,0.8006899004812943,0.342447650069276,1.0,"legacy_amount_cutoff, balance_mismatch, insufficient_funds_executed, account_drained, extreme_amount_vs_self",0.8694216156300709,1,True,"rule_engine: legacy_amount_cutoff, balance_mismatch, insufficient_funds_executed, account_drained, extreme_amount_vs_self"
941,48.0,C22,C37,2494.75,TRANSFER,7.822344564216534,-2075.57,419.17999999999984,2494.75,0.0,1,1,1,0,1,21,237.4719047619048,215.02566583129206,898.33,10.4977147100623,1.0,1,5,10,18,1,18,17,0.8947368421052632,1,False,False,False,False,True,0.99664956,0.777854616676267,0.32921093129321016,1.0,"legacy_amount_cutoff, balance_mismatch, insufficient_funds_executed, account_drained, extreme_amount_vs_self, new_counterparty_large_night_cashout",0.8642171069184746,1,True,"rule_engine: legacy_amount_cutoff, balance_mismatch, insufficient_funds_executed, account_drained, extreme_amount_vs_self, new_counterparty_large_night_cashout"
1091,55.0,C45,C37,2069.37,CASH_OUT,7.635482614247969,-203.24,1866.1299999999999,2069.37,0.0,1,1,1,7,0,27,144.74185185185183,154.52643527980868,516.46,12.455009038829688,3.0,0,1,8,23,1,20,18,0.8571428571428571,1,False,True,False,False,False,0.9955857,0.676410637495856,0.35917673661960614,1.0,"legacy_amount_cutoff, balance_mismatch, insufficient_funds_executed, account_drained, extreme_amount_vs_self",0.8529102420426123,1,True,"rule_engine: legacy_amount_cutoff, balance_mismatch, insufficient_funds_executed, account_drained, extreme_amount_vs_self"
945,48.0,C2,C40,5325.12,CASH_OUT,8.580378297100156,0.0,5325.12,5325.12,0.0,0,1,1,0,1,25,176.95680000000002,202.55362133107698,794.85,25.416297996396956,2.0,0,3,10,19,0,18,15,0.7894736842105263,1,False,True,False,False,False,0.9955857,0.7428270533674043,0.4837162521228942,0.8,"legacy_amount_cutoff, extreme_amount_vs_self",0.8515536317488378,1,True,ensemble_probability_threshold
